nba_id,Player,Season,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
101135,David Lee,2011,GSW,PF,36.082,-1.94,-0.24,-1.7,0.62,Post Scorer,
201577,Robin Lopez,2011,PHO,C,14.791,-1.95,-2.23,0.28,0.22,Roll + Cut Big,
201944,Terrence Williams,2011,HOU/NJN,SG,13.81,-0.81,-0.77,-0.04,0.29,Shot Creator,
2590,Mo Williams,2011,CLE/LAC,PG,30.845,-0.79,0.01,-0.8,1.8,Primary Ball Handler,
200794,Paul Millsap,2011,UTA,PF,34.276,1.95,1.03,0.92,7.43,Athletic Finisher,
1890,Shawn Marion,2011,DAL,SF,28.162,-0.6,-0.4,-0.2,2.55,Post Scorer,
200748,Tyrus Thomas,2011,CHA,C,21,1.17,-1.04,2.21,2.01,Post Scorer,
2733,Shaun Livingston,2011,CHA,PG,17.274,-0.79,-1.49,0.7,1.27,Shot Creator,
101132,Linas Kleiza,2011,TOR,SF,26.462,-1.34,-0.57,-0.77,0.65,Movement Shooter,
2420,Nenad Krstic,2011,BOS/OKC,C,22.127,-1.51,-1.54,0.02,0.82,Athletic Finisher,
2551,T.J. Ford,2011,IND,PG,18.854,-0.59,-1.23,0.64,0.88,Shot Creator,
1515,Anthony Parker,2011,CLE,SF,29.042,-0.81,-1.03,0.22,2.08,Secondary Ball Handler,
202389,Timofey Mozgov,2011,DEN/NYK,C,11.644,-3.19,-3.25,0.06,-0.31,Stretch Big,
200770,Jordan Farmar,2011,NJN,PG,24.603,-0.8,0.68,-1.48,1.79,Primary Ball Handler,
2240,Gilbert Arenas,2011,ORL/WAS,PG,25.657,-0.76,0.06,-0.82,1.85,Shot Creator,
2738,Andre Iguodala,2011,PHI,SF,36.851,2.92,0.91,2.01,8.64,Secondary Ball Handler,
101110,Martell Webster,2011,MIN,SF,23.783,-2.06,-0.26,-1.8,0.17,Athletic Finisher,
201970,Sam Young,2011,MEM,SF,20.218,-0.52,-0.65,0.13,1.88,Athletic Finisher,
708,Kevin Garnett,2011,BOS,PF,31.268,5.31,1.09,4.22,11.11,Post Scorer,
201151,Acie Law,2011,GSW/MEM,PG,14.235,-2.91,-1.42,-1.49,-0.3,Primary Ball Handler,
202339,Eric Bledsoe,2011,LAC,PG,22.728,-2.04,-1.59,-0.45,0.31,Primary Ball Handler,
201627,Anthony Morrow,2011,NJN,SG,32,-2.04,-0.57,-1.47,0.31,Stationary Shooter,
2567,Brian Cook,2011,LAC,PF,11.175,-0.9,-1.22,0.32,0.42,Stretch Big,
2863,Damien Wilkins,2011,ATL,SF,13,-1.63,-1.48,-0.16,0.3,Post Scorer,
201187,Dominic Mcguire,2011,CHA,SF,14.615,-1.63,-1.86,0.23,0.33,Athletic Finisher,
2059,Eduardo Najera,2011,CHA,PF,12,-1.58,-1.98,0.4,0.18,Movement Shooter,
201144,Mike Conley,2011,MEM,PG,35.457,2.88,2.29,0.59,9.97,Primary Ball Handler,
201160,Jason Smith,2011,NOH,C,14.312,-1.99,-2.26,0.27,0.22,Stretch Big,
2422,John Salmons,2011,MIL,SG,34.986,-0.89,-2.03,1.15,2.41,Shot Creator,
200811,Lou Amundson,2011,GSW,PF,15.022,-1.99,-2.16,0.16,0.14,Athletic Finisher,
1536,Stephen Jackson,2011,CHA,SG,35.896,-1.65,-0.73,-0.92,1.03,Shot Creator,
2306,Carlos Arroyo,2011,BOS/MIA,PG,18.516,-3.05,-2.32,-0.73,-0.59,Secondary Ball Handler,
1888,Richard Hamilton,2011,DET,SG,27.236,-1.98,0.14,-2.12,0.31,Off Screen Shooter,
202390,Gary Neal,2011,SAS,SG,21.062,-0.86,0.97,-1.82,1.62,Stationary Shooter,
101115,Andrew Bynum,2011,LAL,C,27.778,2.11,-0.09,2.2,4.45,Post Scorer,
1737,Nazr Mohammed,2011,CHA/OKC,C,17.067,-0.18,-0.79,0.61,1.82,Post Scorer,
202386,Ben Uzoh,2011,NJN,PG,10.429,-0.78,0.16,-0.94,0.44,Shot Creator,
2230,Maurice Evans,2011,ATL/WAS,SF,21.219,-3.48,-2.18,-1.3,-1.2,Stationary Shooter,
101108,Chris Paul,2011,NOH,PG,36,6.76,4.35,2.41,16.84,Shot Creator,
201152,Thaddeus Young,2011,PHI,PF,26.037,1.14,0.84,0.3,4.93,Athletic Finisher,
2571,Leandro Barbosa,2011,TOR,SG,24.052,-1.77,0.88,-2.65,0.49,Primary Ball Handler,
201977,Marcus Thornton,2011,NOH/SAC,SG,24.329,-0.33,0.62,-0.94,2.34,Secondary Ball Handler,
2544,Lebron James,2011,MIA,SF,38.772,6.26,5.03,1.24,17.05,Shot Creator,
2407,Jared Jeffries,2011,HOU/NYK,PF,14.31,-0.57,-0.92,0.35,0.69,Athletic Finisher,
2742,Sebastian Telfair,2011,MIN,PG,19.216,-1.81,-0.51,-1.3,0.23,Shot Creator,
201611,Henry Walker,2011,NYK,SG,12.852,-0.66,-0.51,-0.15,0.86,Stationary Shooter,
201963,Christian Eyenga,2011,CLE,SF,21.523,-1.81,-2.27,0.47,0.31,Stationary Shooter,
2755,Kevin Martin,2011,HOU,SG,32.538,1.12,2.69,-1.57,5.98,Secondary Ball Handler,
202323,Evan Turner,2011,PHI,SG,23.038,-1.88,-1.85,-0.03,0.5,Secondary Ball Handler,
202344,Trevor Booker,2011,WAS,PF,16.354,-0.7,-0.12,-0.58,1.13,Athletic Finisher,
1710,Mike Bibby,2011,ATL/MIA/WAS,PG,28.55,-0.46,0.53,-0.99,2.8,Stationary Shooter,
2199,Tyson Chandler,2011,DAL,C,27.824,2.01,-0.35,2.36,5.96,Roll + Cut Big,
