Team,Pos,Age,G,GS,MP,WS,WS/48,BPM,VORP,LEBRON,O-LEBRON,D-LEBRON,WAR,Season_End_Year,All_NBA_Target
DEN,SG,25.0,69.0,69.0,2324.0,6.2,0.128,1.4,2.0,0.44,1.01,-0.57,4.27,2011,0
BOS,SG,35.0,80.0,80.0,2890.0,10.0,0.166,2.9,3.6,1.02,0.61,0.41,6.45,2011,0
MEM,SG,29.0,72.0,31.0,1494.0,4.7,0.152,3.6,2.1,1.72,-0.37,2.09,4.03,2011,0
LAC,SF,20.0,81.0,14.0,1452.0,0.7,0.022,-2.8,-0.3,-2.11,-2.35,0.23,0.17,2011,0
GSW,PF,28.0,46.0,7.0,691.0,0.6,0.044,-4.5,-0.4,-1.99,-2.16,0.16,0.14,2011,0
DEN,C,32.0,45.0,0.0,732.0,3.2,0.207,3.0,0.9,2.14,-0.54,2.68,2.19,2011,0
SAS,SF,21.0,26.0,2.0,286.0,0.3,0.051,-1.7,0.0,-2.49,-1.22,-1.26,-0.04,2011,0
ORL,PF,22.0,64.0,14.0,1424.0,6.4,0.216,4.6,2.4,2.9,2.8,0.1,4.97,2011,0
2TM,SF,26.0,77.0,77.0,2751.0,7.9,0.138,1.9,2.7,0.62,1.92,-1.31,5.39,2011,0
MIA,C,28.0,75.0,11.0,1463.0,3.3,0.107,-1.6,0.2,-1.29,-2.76,1.47,0.98,2011,0
2TM,PG,29.0,70.0,16.0,1796.0,0.5,0.014,-2.4,-0.2,-0.76,0.06,-0.82,1.85,2011,0
NOH,SF,25.0,75.0,75.0,2600.0,3.4,0.062,-0.4,1.0,-0.23,-0.82,0.58,3.6,2011,0
2TM,PG,31.0,64.0,43.0,1185.0,1.7,0.068,-2.3,-0.1,-3.05,-2.32,-0.73,-0.59,2011,0
LAL,SF,31.0,82.0,82.0,2410.0,4.4,0.088,0.2,1.3,0.64,-0.41,1.05,4.76,2011,0
MEM,PF,22.0,80.0,9.0,1609.0,3.8,0.113,-1.6,0.2,-0.7,-1.91,1.21,1.72,2011,0
CHA,PG,23.0,82.0,82.0,2757.0,6.2,0.108,0.1,1.5,-1.1,1.21,-2.32,2.19,2011,0
TOR,SG,28.0,58.0,0.0,1395.0,1.5,0.052,-1.3,0.2,-1.77,0.88,-2.65,0.49,2011,0
DAL,PG,26.0,81.0,2.0,1669.0,3.2,0.093,-0.5,0.6,-0.92,0.69,-1.61,1.54,2011,0
TOR,C,25.0,66.0,66.0,2353.0,2.5,0.052,-1.4,0.4,-1.08,0.91,-1.99,1.91,2011,0
LAL,SF,30.0,53.0,0.0,1020.0,3.0,0.142,0.6,0.7,-1.45,-1.17,-0.27,0.57,2011,0
3TM,C,29.0,21.0,7.0,305.0,-0.2,-0.039,-8.1,-0.5,-1.31,-1.3,-0.02,0.2,2011,0
ORL,PF,25.0,76.0,51.0,1980.0,6.3,0.153,0.2,1.1,-0.36,-1.8,1.43,2.57,2011,0
2TM,SF,32.0,82.0,59.0,2375.0,5.1,0.103,1.4,2.0,1.7,0.84,0.86,6.38,2011,0
POR,SF,22.0,80.0,67.0,2522.0,6.6,0.126,1.1,2.0,-0.14,0.32,-0.47,3.64,2011,0
2TM,PG,22.0,71.0,14.0,1496.0,1.6,0.053,-1.8,0.1,-2.48,-0.02,-2.46,-0.18,2011,0
MIN,SF,22.0,73.0,73.0,2361.0,1.7,0.035,-1.8,0.1,-1.74,-0.87,-0.87,0.87,2011,0
DAL,PG,22.0,28.0,26.0,496.0,0.2,0.022,-2.7,-0.1,-0.93,-0.82,-0.11,0.45,2011,0
